Região;Unidades da Federação;Unidade;Produto;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;Amazonas;(mil barris);LGN;6.085;6.366;5.794;5.723;6.225;5.995;5.748;5.406;5.099;5.092
;Ceará;(mil barris);LGN;57;28; -   ; -   ; -   ;  -    ;  -    ; -   ; -   ; -   
;Rio Grande do Norte;(mil barris);LGN;1.338;1.144;983;965;849;819;541;527;248;180
;Alagoas;(mil barris);LGN;516;448;598;502;514;369;389;296;28;547
;Sergipe;(mil barris);LGN;1.084;899;639;552;454;348;106; -   ; -   ; -   
;Bahia;(mil barris);LGN;1.484;1.473;1.397;960;936;880;674;647;766;245
;Espírito Santo;(mil barris);LGN;6.140;5.382;5.789;5.969;5.476;5.649;5.752;5.097;3.406;3.389
;Rio de Janeiro;(mil barris);LGN;15.177;14.319;10.043;7.509;5.681;4.330;3.220;3.115;4.774;4.875
;São Paulo;(mil barris);LGN;1.594;2.613;10.164;18.345;19.048;19.309;20.154;18.053;19.147;14.849
